season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
U2015_P006486_ULM,U2015,P006486,"ALTE, TOM",ULM,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2013_P004992_KSK,U2013,P004992,"ALTINTIG, CAN",KSK,14.0,9.0,316.4,65,16,37,7,28,12,15,11,17,28,37,4,23,0,1,39,23,49,7,22.6,4.64,1.14,2.64,0.432,0.5,2.0,0.25,0.86,1.07,0.8,0.79,1.21,2.0,2.64,0.29,1.64,0.0,0.07,2.79,1.64,3.5,0.5
U2015_P004992_KSK,U2015,P004992,"ALTINTIG, CAN",KSK,8.0,8.0,129.7,34,11,22,2,11,6,7,3,9,12,9,1,10,0,1,19,10,15,-9,16.21,4.25,1.38,2.75,0.5,0.25,1.38,0.182,0.75,0.88,0.857,0.38,1.12,1.5,1.12,0.12,1.25,0.0,0.12,2.38,1.25,1.88,-1.12
U2025_P002875_CLU,U2025,P002875,"ALTIT, BEN",CLU,1.0,0.0,3.7,2,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,3.73,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
U2014_P004798_BAN,U2014,P004798,"ALTUNBEY, TALAT ALP",BAN,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2015_P004798_BAN,U2015,P004798,"ALTUNBEY, TALAT ALP",BAN,9.0,0.0,35.7,4,2,6,0,1,0,2,4,3,7,1,0,1,1,2,6,2,-1,-9,3.97,0.44,0.22,0.67,0.333,0.0,0.11,0.0,0.0,0.22,0.0,0.44,0.33,0.78,0.11,0.0,0.11,0.11,0.22,0.67,0.22,-0.11,-1.0
U2009_P001528_CAN,U2009,P001528,"ALVARADO, OSCAR",CAN,3.0,0.0,11.2,2,0,1,0,1,2,2,0,1,1,0,0,3,0,1,2,1,-4,-6,3.74,0.67,0.0,0.33,0.0,0.0,0.33,0.0,0.67,0.67,1.0,0.0,0.33,0.33,0.0,0.0,1.0,0.0,0.33,0.67,0.33,-1.33,-2.0
U2014_P001528_CAN,U2014,P001528,"ALVARADO, OSCAR",CAN,3.0,1.0,29.4,6,0,0,2,4,0,0,1,2,3,3,0,4,0,0,3,3,6,-1,9.8,2.0,0.0,0.0,0.0,0.67,1.33,0.5,0.0,0.0,0.0,0.33,0.67,1.0,1.0,0.0,1.33,0.0,0.0,1.0,1.0,2.0,-0.33
U2014_P005059_ROM,U2014,P005059,"ALVITI, DAVIDE",ROM,1.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2023_P005059_TRN,U2023,P005059,"ALVITI, DAVIDE",TRN,15.0,6.0,341.6,126,20,36,27,67,5,7,4,40,44,19,13,21,3,2,37,18,105,-26,22.77,8.4,1.33,2.4,0.556,1.8,4.47,0.403,0.33,0.47,0.714,0.27,2.67,2.93,1.27,0.87,1.4,0.2,0.13,2.47,1.2,7.0,-1.73
