season_player_id,season_code,player_id,player_last_name,player_first_name,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game,
E2025_P014016_ULK,E2025,P014016,BOSTON JR.,BRANDON,ULK,2,0,13,5,1,1,1,3,0,0,0,3,3,0,1,1,0,0,0,0,6,-3,6.48,2.5,0.5,0.5,1,0.5,1.5,0.333,0,0,0,0,1.5,1.5,0,0.5,0.5,0,0,0,0,3,-1.5,
E2025_P011983_ZAL,E2025,P011983,BRAZDEIKIS,IGNAS,ZAL,3,2,25.7,6,1,5,1,3,1,2,1,3,4,2,2,3,0,0,2,2,4,-1,8.56,2,0.33,1.67,0.2,0.33,1,0.333,0.33,0.67,0.5,0.33,1,1.33,0.67,0.67,1,0,0,0.67,0.67,1.33,-0.33,
E2025_P014127_TEL,E2025,P014127,BRISSETT,O'SHAE J,TEL,3,3,71.4,31,6,11,3,5,10,13,7,10,17,3,1,2,1,0,12,10,39,1,23.82,10.33,2,3.67,0.545,1,1.67,0.6,3.33,4.33,0.769,2.33,3.33,5.67,1,0.33,0.67,0.33,0,4,3.33,13,0.33,
E2025_P009992_BAR,E2025,P009992,BRIZUELA,DARIO,BAR,3,0,24.9,11,1,5,3,6,0,0,0,1,1,4,0,1,0,1,8,0,-1,-20,8.29,3.67,0.33,1.67,0.2,1,2,0.5,0,0,0,0,0.33,0.33,1.33,0,0.33,0,0.33,2.67,0,-0.33,-6.67,
E2025_P013384_MIL,E2025,P013384,BROOKS,ARMONI,MIL,3,0,45,29,5,7,6,19,1,2,2,9,11,3,2,3,1,1,3,3,26,12,14.99,9.67,1.67,2.33,0.714,2,6.33,0.316,0.33,0.67,0.5,0.67,3,3.67,1,0.67,1,0.33,0.33,1,1,8.67,4,
E2025_P009622_MIL,E2025,P009622,BROWN,LORENZO,MIL,1,1,21.4,12,4,6,1,3,1,1,1,0,1,7,1,2,0,0,4,1,12,-9,21.42,12,4,6,0.667,1,3,0.333,1,1,1,1,0,1,7,1,2,0,0,4,1,12,-9,
E2025_P012720_PAR,E2025,P012720,BROWN,STERLING,PAR,3,3,80,50,11,17,6,13,10,12,0,8,8,6,3,3,1,1,7,9,51,4,26.67,16.67,3.67,5.67,0.647,2,4.33,0.462,3.33,4,0.833,0,2.67,2.67,2,1,1,0.33,0.33,2.33,3,17,1.33,
E2025_P009846_HTA,E2025,P009846,BRYANT,ELIJAH,HTA,3,3,83.7,44,13,20,3,11,9,9,2,4,6,10,2,5,0,0,7,9,44,9,27.89,14.67,4.33,6.67,0.65,1,3.67,0.273,3,3,1,0.67,1.33,2,3.33,0.67,1.67,0,0,2.33,3,14.67,3,
E2025_P002676_ZAL,E2025,P002676,BUTKEVICIUS,ARNAS,ZAL,3,0,48.7,11,1,2,3,4,0,0,0,8,8,4,4,0,0,0,9,2,18,13,16.23,3.67,0.33,0.67,0.5,1,1.33,0.75,0,0,0,0,2.67,2.67,1.33,1.33,0,0,0,3,0.67,6,4.33,
E2025_P013269_BAR,E2025,P013269,CALE,MYLES,BAR,3,0,45.5,10,2,5,2,5,0,0,4,1,5,4,0,1,0,1,7,0,4,-41,15.18,3.33,0.67,1.67,0.4,0.67,1.67,0.4,0,0,0,1.33,0.33,1.67,1.33,0,0.33,0,0.33,2.33,0,1.33,-13.67,
E2025_P005928_MAD,E2025,P005928,CAMPAZZO,FACUNDO,MAD,3,0,68.4,22,3,6,4,16,4,4,1,5,6,14,3,3,0,1,5,8,29,19,22.79,7.33,1,2,0.5,1.33,5.33,0.25,1.33,1.33,1,0.33,1.67,2,4.67,1,1,0,0.33,1.67,2.67,9.67,6.33,
E2025_P005379_MIL,E2025,P005379,CANCAR,VLATKO,MIL,2,0,15.4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,-5,14,7.72,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2.5,7,
E2025_P011305_RED,E2025,P011305,CARTER,TYSON,RED,3,1,80.4,44,11,22,6,15,4,4,2,6,8,7,2,9,0,0,9,5,28,-8,26.78,14.67,3.67,7.33,0.5,2,5,0.4,1.33,1.33,1,0.67,2,2.67,2.33,0.67,3,0,0,3,1.67,9.33,-2.67,
E2025_P013373_PRS,E2025,P013373,CAVALIERE,LEOPOLD,PRS,3,0,33.3,8,3,4,0,2,2,3,2,5,7,3,2,0,0,0,5,2,13,4,11.09,2.67,1,1.33,0.75,0,0.67,0,0.67,1,0.667,0.67,1.67,2.33,1,0.67,0,0,0,1.67,0.67,4.33,1.33,
E2025_P013699_TEL,E2025,P013699,CLARK III,JIMMY,TEL,3,2,61.7,18,4,15,3,12,1,2,3,3,6,10,9,3,0,2,9,5,13,10,20.56,6,1.33,5,0.267,1,4,0.25,0.33,0.67,0.5,1,1,2,3.33,3,1,0,0.67,3,1.67,4.33,3.33,
E2025_P004888_BAR,E2025,P004888,CLYBURN,WILL,BAR,3,3,80.8,65,12,18,11,16,8,11,5,11,16,5,3,4,1,0,5,11,78,23,26.93,21.67,4,6,0.667,3.67,5.33,0.688,2.67,3.67,0.727,1.67,3.67,5.33,1.67,1,1.33,0.33,0,1.67,3.67,26,7.67,
