player_first_name,player_last_name,team_id,FinalWeighted_JEI
QUINO,COLOM,UNK,126.32
JOHN,BROWN,UNK,126.18
NEMANJA,NEDOVIC,RED,126.02
QUINCY,MILLER,RED,125.86
VASSILIS,SPANOULIS,OLY,125.85
PAUL,DAVIS,KHI,125.83
JAYSON,GRANGER,IST,125.75
MARKO,GUDURIC,ULK,125.71
DEVIN,BOOKER,KHI,125.6
QYNTEL,WOODS,SOP,125.53
WILL,CLYBURN,DAR,125.51
DESHAUN,THOMAS,PAN,125.51
JANIS,STRELNIEKS,BAM,125.45
TYRESE,RICE,KHI,125.44
ALEX,RENFROE,BER,125.29
SHABAZZ,NAPIER,MIL,125.29
JAMES,AUGUSTINE,MAL,125.26
MARIUS,GRIGONIS,ZAL,125.24
TYRESE,RICE,BAR,125.04
MATTHEW,COSTELLO,BAS,124.81
WADE,BALDWIN IV,ULK,124.62
SERGE,IBAKA,MUN,124.57
OTHELLO,HUNTER,TEL,124.41
LUKA,ZORIC,MAL,124.3
BRADLEY,WANAMAKER,BAM,124.11
ALEKSANDAR,MARIC,PAR,124.09
TREY,THOMPKINS,NOV,124.03
THOMAS,HEURTEL,BAR,123.99
CORY,HIGGINS,BAR,123.96
WILL,CLYBURN,VIR,123.95
THOMAS,WALKUP,ZAL,123.95
DERRICK,BROWN,TIV,123.91
VLADIMIR,LUCIC,MUN,123.77
THOMAS,HEURTEL,BAS,123.71
NOVICA,VELICKOVIC,PAR,123.7
TYLER,HONEYCUTT,KHI,123.68
PABLO,PRIGIONI,BAS,123.64
MILOS,TEODOSIC,OLY,123.58
DAVID,ANDERSEN,CSK,123.39
NEMANJA,BJELICA,ULK,123.38
GEORGIOS,PAPAGIANNIS,PAN,123.27
VICTOR,CLAVER,TIV,123.21
DANIEL,EWING,SOP,123.13
SCOTTIE,WILBEKIN,DAR,123.11
MARKO,POPOVIC,ZAL,123
MOUSTAPHA,FALL,OLY,122.87
TAMIR,BLATT,TEL,122.82
NIKOLA,KALINIC,PAM,122.8
JOFFREY,LAUVERGNE,ASV,122.8
STERLING,BROWN,PAR,122.54
STEFAN,JOVIC,RED,122.5
KYLE,HINES,CSK,122.42
JOEL,FREELAND,MAL,122.39
ERSAN,ILYASOVA,BAR,122.38
JAMES,ANDERSON,ZAL,122.26
CHARLES,SMITH,IST,122.1
CODI,MILLER-MCINTYRE,RED,121.91
JAYSON,GRANGER,MAL,121.73
DAVID,HAWKINS,MIL,121.69
ALESSANDRO,GENTILE,MIL,121.47
DWAYNE,BACON,PAN,121.47
MARC,SALYERS,ROA,121.35
JONAS,JEREBKO,KHI,121.09
JORDAN,LOYD,MCO,121
NADIR,HIFI,PRS,120.97
GUSTAVO,AYON,DYR,120.95
MARCELINHO,HUERTAS,BAR,120.76
NICK,WEILER-BABB,MUN,120.66
TYSON,WARD,PRS,120.55
ALEC,PETERS,BAS,120.55
NIKOLA,PEKOVIC,PAN,120.43
MALCOM,THOMAS,KHI,120.37
DUSKO,SAVANOVIC,IST,120.33
JAMES WILLIAM,NUNNALLY,PAR,120.2
NATE,WOLTERS,RED,120.2
VINCENT,POIRIER,MAD,120.15
MARTIN,HERMANNSSON,BER,120.15
LUCA,VILDOZA,BAS,120.11
BRYANT,DUNSTON,IST,119.97
MARKUS,HOWARD,BAS,119.94
JUSTIN,DOELLMAN,BAR,119.92
BOOTSY,THORNTON,IST,119.89
BOGDAN,BOGDANOVIC,PAR,119.64
PARIS,LEE,PAN,119.58
ELIE,OKOBO,ASV,119.48
NICOLO,MELLI,MIL,119.4
DERRICK,WILLIAMS,MUN,119.39
JOHANNES,VOIGTMANN,CSK,119.34
ROKAS,GIEDRAITIS,BER,119.24
ERRICK,MCCOLLUM,IST,119.12
EMIR,PRELDZIC,ULK,119.07
JORDAN,LOYD,DYR,119.05
NIGEL,WILLIAMS-GOSS,OLY,118.94
ANTHONY,GILL,KHI,118.94
KEVIN  XAVIER,PUNTER,MIL,118.93
KRUNOSLAV,SIMON,MIL,118.8
FERNANDO,SAN EMETERIO,BAS,118.76
ADRIEN,MOERMAN,IST,118.72
MARCUS,WILLIAMS,RED,118.7
HOLLIS,PRICE,LIE,118.51
DONTA,HALL,BAS,118.36
VLADIMIR,MICOV,GAL,118.33
NIKOLA,VUJCIC,OLY,118.27
ERAZEM,LORBEK,BAR,118.23
OMAR,COOK,MAL,118.17
RODRIGUE,BEAUBOIS,BAS,118.1
MACIEJ,LAMPE,BAS,118.03
IBRAHIM IBIN,JAABER,ROM,117.86
JEREMY,PARGO,TEL,117.83
ALEXANDER,TYUS-CECCHINI,GAL,117.66
SASHA,KAUN,CSK,117.66
JIRI,WELSCH,MAL,117.63
JOHANNES,THIEMANN,BER,117.55
JAMES,GIST,PAN,117.5
NORRIS,COLE,TEL,117.43
MALCOLM,DELANEY,MIL,117.28
VLADIMIR,MICOV,MIL,117.26
TARIK,BLACK,TEL,117.12
DANIEL,HACKETT,SIE,117.11
MIKE,JAMES,BAS,116.92
ANTON,GAVEL,BAM,116.9
LESTER,MC CALEEB,PAR,116.84
RODRIGUE,BEAUBOIS,IST,116.75
SINAN,GULER,GAL,116.6
YOTAM,HALPERIN,TEL,116.55
ERAZEM,LORBEK,ROM,116.2
MOUSTAPHA,FALL,ASV,116.19
MINDAUGAS,KUZMINSKAS,MAL,116.01
DORELL,WRIGHT,BAM,115.91
MARC,JACKSON,OLY,115.86
NATE,WOLTERS,ZAL,115.71
MARTYNAS,GECEVICIUS,LIE,115.62
DERRICK,WILLIAMS,PAN,115.42
DARYL,MACON JR,PAN,115.34
LIOR,ELIYAHU,TEL,115.33
WILLY,HERNANGOMEZ,BAR,115.31
ROKO-LENI,UKIC,ULK,115.26
ERICK,GREEN,PAM,115.23
BONIFACE,NDONG,MAL,115.18
PIERRIA,HENRY,ULK,115.14
RICKY,RUBIO,BAR,115.12
PABLO,PRIGIONI,MAD,114.95
JONAS,MACIULIS,PAN,114.88
DANILO,GALLINARI,MIL,114.85
ARTSIOM,PARAKHOUSKI,UNK,114.85
SIMONE,FONTECCHIO,BAS,114.75
JAYSON,GRANGER,BER,114.66
PETE,MICKEAL,BAS,114.56
MANTAS,KALNIETIS,TIV,114.5
ERAZEM,LORBEK,CSK,114.27
RICHARD,HENDRIX,TIV,114.19
DEANDRE,KANE,TEL,114.15
SHABAZZ,NAPIER,MUN,114.15
FABIEN,CAUSEUR,BAS,113.99
JAMEL,MCLEAN,BER,113.93
SEMI,OJELEYE,PAM,113.9
TAYLOR,ROCHESTIE,RED,113.86
HOWARD,SANT-ROOS,PAN,113.73
GABRIEL,DECK,MAD,113.63
JALEEN,SMITH,BER,113.56
ALEXANDER,TYUS-CECCHINI,TEL,113.56
LORENZO,BROWN,ULK,113.51
ANTHONY,RANDOLPH,MAD,113.49
BRANDON,DAVIES,PAM,113.4
JUAN CARLOS,NAVARRO,BAR,113.29
REGGIE,REDDING,BER,113.21
OTHELLO,HUNTER,CSK,113.02
LEVI,RANDOLPH,TEL,112.73
DWAYNE,BACON,MCO,112.43
DANIEL,HACKETT,CSK,112.37
DERRICK,WILLIAMS,ULK,112.31
JAYSON,GRANGER,BAS,112.28
MIKE,TOBEY,PAM,111.9
CHUCK,EIDSON,LIE,111.86
DEVON,HALL,MIL,111.71
PJ,DOZIER,PAR,111.7
KEENAN,EVANS,TEL,111.67
ZACH,LEDAY,ZAL,111.61
TONEY,DOUGLAS,DAR,111.61
SAM,VAN ROSSOM,PAM,111.6
TORRIAN,WALDEN,MUN,111.57
SAMARDO,SAMUELS,MIL,111.54
MATEUSZ,PONITKA,PAN,111.53
TYLER,DORSEY,TEL,111.39
LUIGI,DATOME,ULK,111.36
MAIK,KOTSAR,BAS,111.33
MARCUS,HAISLIP,MAL,111.23
DAN,OTURU,IST,111.13
ROMAIN,SATO,PAN,111.12
VLADIMIR,STIMAC,IST,111.02
J.R.,HOLDEN,CSK,111.01
EARL,CALLOWAY,MAL,110.81
DONTA,HALL,MCO,110.78
GEORGIOS,PRINTEZIS,OLY,110.56
TADAS,SEDEKERSKIS,BAS,110.52
BLAKE,SCHILB,GAL,110.47
DANIEL,THEIS,BAM,110.47
EDGARAS,ULANOVAS,ZAL,110.46
IGOR,RAKOCEVIC,IST,110.38
KOSTAS,PAPANIKOLAOU,OLY,110.36
ELIJAH,BRYANT,TEL,110.35
NORRIS,COLE,ASV,110.35
DARIUS,MILLER,BAM,110.33
ZORAN,PLANINIC,BAS,110.33
RUDY,FERNANDEZ,MAD,110.13
JIMMER,FREDETTE,PAN,110.07
SYLVAIN,FRANCISCO,MUN,110.05
ROLANDS,SMITS,ZAL,110.03
ARTURAS,GUDAITIS,DYR,109.98
BEN,LAMMERS,BER,109.96
VIKTOR,KHRYAPA,CSK,109.94
MARCUS,ERIKSSON,BER,109.93
JOFFREY,LAUVERGNE,ZAL,109.84
MIROSLAV,RADULJICA,PAN,109.79
NIKOLA,KALINIC,BAR,109.78
IOANNIS,BOUROUSIS,MIL,109.68
KENAN,BAJRAMOVIC,LIE,109.66
JOHN,BRYANT,MUN,109.66
JOFFREY,LAUVERGNE,PAR,109.62
MALCOLM,DELANEY,BAR,109.61
MICHAEL,ROLL,TEL,109.55
SASHA,VUJACIC,IST,109.39
OTHELLO,HUNTER,MUN,109.33
VLADIMIR,STIMAC,RED,109.29
WILL,MCDONALD,BAS,109.27
FRAN,VAZQUEZ,BAR,109.02
DAVID,MOSS,SIE,108.99
MARCELINHO,HUERTAS,BAS,108.96
BRANDON,DAVIES,PAR,108.86
SHAUN,STONEROOK,SIE,108.85
JACOB,PULLEN,CED,108.81
JONAS,MACIULIS,ZAL,108.8
OMAR,COOK,PAM,108.78
JASIEL,RIVERO,TEL,108.71
JAMES,FELDEINE,RED,108.68
ALAN,ANDERSON,TEL,108.67
MILOS,TEODOSIC,VIR,108.61
THOMAS,HEURTEL,MAD,108.56
SERGIO,RODRIGUEZ,MAD,108.55
NEAL,SAKO,ASV,108.47
IFFE,LUNDBERG,CSK,108.47
JEREMY,EVANS,DAR,108.33
OMAR,COOK,MIL,108.24
YOUSSOUPHA,FALL,ASV,108.02
ANDREW,GOUDELOCK,TEL,108.01
ANDRE,ROBERSON,ASV,107.98
VITALY,FRIDZON,KHI,107.8
CHRIS,SINGLETON,TIV,107.77
KLEMEN,PREPELIC,PAM,107.76
AARON,WHITE,ZAL,107.75
STEFAN,MARKOVIC,KHI,107.7
NIKOS,ZISIS,BAM,107.68
JAMONT,GORDON,CIB,107.58
BRANDON,DAVIES,MIL,107.52
JAKA,LAKOVIC,BAR,107.52
TIBOR,PLEISS,PAM,107.52
SEMIH,ERDEN,IST,107.33
HENRY,DOMERCANT,UNK,107.3
YAGO,DOS SANTOS,RED,106.86
ANTE,TOMIC,MAD,106.84
RICHARD,HENDRIX,TEL,106.84
